umid_inst,pto_orvalho_inst,pressao,radiacao,vento_vel,temp_inst
84.0,16.7,927.4,-3.54,2.4,19.6
82.0,16.6,928.0,19.504,2.4,19.7
74.0,17.0,928.4,638.05,2.2,21.9
64.0,15.6,928.8,1230.185,5.0,22.8
59.0,15.9,929.2,2188.968,4.2,24.5
53.0,15.4,928.9,3024.859,4.9,25.7
49.0,15.0,928.8,2635.424,3.6,26.5
44.0,14.9,927.8,2736.312,4.2,28.2
42.0,15.0,927.1,3342.189,3.9,29.1
39.0,13.5,926.4,2383.66,4.2,28.9
39.0,13.7,925.8,2095.38,3.7,29.3
36.0,12.4,925.6,1698.732,3.8,29.2
35.0,11.4,925.5,1081.638,4.6,28.4
37.0,11.4,925.6,380.317,3.5,27.5
42.0,12.0,925.8,4.702,2.2,25.9
48.0,13.0,926.5,-3.54,1.7,24.8
53.0,14.2,927.3,-3.54,3.4,24.3
63.0,16.4,928.0,-3.54,4.1,23.7
71.0,17.0,928.0,-3.54,3.3,22.6
74.0,17.4,927.7,-3.54,3.9,22.2
78.0,17.3,927.1,-3.54,3.4,21.3
77.0,16.8,926.9,-3.54,3.9,21.0
77.0,16.4,927.0,-3.54,4.1,20.6
81.0,16.3,926.8,-3.54,3.1,19.6
85.0,16.1,927.1,-3.54,3.1,18.8
84.0,16.1,927.6,26.173,2.8,18.7
77.0,16.7,928.3,606.934,3.3,20.9
67.0,16.1,928.5,1419.732,4.7,22.6
56.0,14.6,929.2,1895.911,4.6,23.9
49.0,14.7,929.0,2767.153,4.5,26.1
43.0,13.8,928.9,3584.887,3.5,27.5
42.0,14.5,928.0,3672.52,3.7,28.9
36.0,12.4,927.2,3800.997,3.5,28.9
33.0,11.9,926.6,2966.939,3.0,30.2
36.0,12.7,926.2,2042.249,3.8,29.2
33.0,11.7,926.0,2007.26,3.2,29.7
34.0,11.0,926.0,1098.933,2.2,28.4
37.0,11.0,926.4,234.369,0.8,27.1
42.0,11.6,927.0,1.124,1.1,25.7
49.0,13.0,927.5,-3.54,1.3,24.3
54.0,14.2,927.8,-3.54,2.1,24.0
63.0,16.0,928.6,-3.54,4.1,23.3
69.0,16.7,928.7,-3.54,4.3,22.6
72.0,16.7,928.6,-3.54,4.7,22.0
77.0,16.8,928.2,-3.54,2.9,21.0
74.0,15.9,927.9,-3.54,3.4,20.6
75.0,15.6,928.0,-3.54,3.4,20.1
75.0,15.0,928.4,-3.54,2.9,19.6
78.0,15.1,928.5,-3.54,2.5,19.0
81.0,15.3,928.9,21.507,2.1,18.7
78.0,15.9,929.0,282.918,2.3,19.8
68.0,16.3,929.7,889.522,2.9,22.5
59.0,15.8,929.8,1621.112,4.0,24.2
52.0,15.1,929.6,3016.238,4.1,25.8
47.0,15.0,929.3,3712.033,3.7,27.2
41.0,14.0,928.7,3507.192,2.9,28.6
41.0,13.8,927.9,3898.039,3.4,28.5
37.0,13.8,927.1,3085.043,3.2,30.1
39.0,14.4,926.6,1406.727,3.7,29.8
40.0,14.5,926.4,1523.922,2.9,29.5
41.0,13.7,926.6,958.196,4.2,28.3
42.0,13.0,926.9,334.609,3.3,27.1
45.0,13.2,927.2,5.882,2.7,25.9
53.0,13.9,927.7,-3.54,1.3,24.1
